Altium Designer Pick and Place Locations
C:\git\LightCell\0_GTI\Project Outputs for GTI\GTI\Pick Place for GTI_V5.csv

========================================================================================================================
File Design Information:

Date:       26/01/24
Time:       20:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"R94","0402WGF1002TCE","TopLayer","R_0402","83.0000","82.5000","270","R - RESISTOR - SMD - 10k - 1% - 0402","83.0000","82.5000","83.0000","83.0080"
"D94","KT-0603R","TopLayer","D_0603","81.5000","82.5000","90","D - LED - 0603 - Red","81.5000","82.5000","81.5000","81.8000"
"R92","0402WGF1002TCE","TopLayer","R_0402","98.0000","85.0000","270","R - RESISTOR - SMD - 10k - 1% - 0402","98.0000","85.0000","98.0000","85.5080"
"D92","KT-0603R","TopLayer","D_0603","99.5000","85.0000","90","D - LED - 0603 - Red","99.5000","85.0000","99.5000","84.3000"
"R91","0402WGF1002TCE","TopLayer","R_0402","128.0000","83.0000","360","R - RESISTOR - SMD - 10k - 1% - 0402","128.0000","83.0000","127.4920","83.0000"
"R90","0402WGF1002TCE","TopLayer","R_0402","73.5000","50.5000","90","R - RESISTOR - SMD - 10k - 1% - 0402","73.5000","50.5000","73.5000","49.9920"
"D91","KT-0603R","TopLayer","D_0603","128.5000","85.0000","270","D - LED - 0603 - Red","128.5000","85.0000","128.5000","85.7000"
"D90","KT-0603R","TopLayer","D_0603","72.3000","50.5000","90","D - LED - 0603 - Red","72.3000","50.5000","72.3000","49.8000"
"C20","KP225J2J2705","TopLayer","C_FILM_D27.5","158.0000","49.0000","90","C - CAPACITOR - FILM - 2.2uF - 630V - 10mm Plugin","158.0000","49.0000","158.0000","35.2500"
"GTI_D_TVS_D","SMAJ400CA","TopLayer","DO-214AC","81.5000","24.0000","180","D - DIODE - TVS - 400V - 0.7A","81.5000","24.0000","83.4000","24.0000"
"GTI_D_TVS_C","SMAJ400CA","TopLayer","DO-214AC","81.5000","27.5000","180","D - DIODE - TVS - 400V - 0.7A","81.5000","27.5000","83.4000","27.5000"
"C5","C5750X6S2W225KT000N","TopLayer","C_2220","82.0000","50.2500","180","C - CAPACITOR - MLCC - 2.2uF - 450V - 2020","82.0000","50.2500","84.5250","50.2500"
"GTI_D_TVS_B","SMAJ400CA","TopLayer","DO-214AC","198.5000","69.0000","180","D - DIODE - TVS - 400V - 0.7A","198.5000","69.0000","200.4000","69.0000"
"GTI_D_TVS_A","SMAJ400CA","TopLayer","DO-214AC","198.0000","32.0000","180","D - DIODE - TVS - 400V - 0.7A","198.0000","32.0000","199.9000","32.0000"
"C72","CL31A226KAHNNNE","TopLayer","C_1206","101.5000","85.0000","270","C - CAPACITOR - MLCC - 22uF - 25V - 1206","101.5000","85.0000","101.5000","86.3954"
"GTI_PS_B","B1212XT-1WR3","TopLayer","CONV_B0512XT-1WR3","112.5000","85.0000","90","T - Isolated Module DC DC Converter 12 -> 12V 84mA - DIP","112.5000","85.0000","108.6900","79.9500"
"GTI_PS_A","B1212XT-1WR3","TopLayer","CONV_B0512XT-1WR3","62.0000","50.5000","90","T - Isolated Module DC DC Converter 12 -> 12V 84mA - DIP","62.0000","50.5000","58.1900","45.4500"
"C43","CL31A226KAHNNNE","TopLayer","C_1206","53.5000","50.5000","270","C - CAPACITOR - MLCC - 22uF - 25V - 1206","53.5000","50.5000","53.5000","51.8954"
"GT_J_G","SMTSO3020CTJ","TopLayer","SMTSO3020CTJ","107.5000","10.5000","90","J - PCB NUT - M3 x 2","107.5000","10.5000","107.5000","10.5000"
"GT_J_F","SMTSO3020CTJ","TopLayer","SMTSO3020CTJ","126.5000","10.5000","90","J - PCB NUT - M3 x 2","126.5000","10.5000","126.5000","10.5000"
"GTI_C_BULK_E","56 uF","TopLayer","CAP_D18_L7.5","136.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","136.0000","19.0000","136.0000","22.7500"
"GTI_C_BULK_D","56 uF","TopLayer","CAP_D18_L7.5","117.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","117.0000","19.0000","117.0000","22.7500"
"GTI_C_BULK_C","56 uF","TopLayer","CAP_D18_L7.5","174.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","174.0000","19.0000","174.0000","22.7500"
"GTI_C_BULK_B","56 uF","TopLayer","CAP_D18_L7.5","98.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","98.0000","19.0000","98.0000","22.7500"
"GTI_C_BULK_A","56 uF","TopLayer","CAP_D18_L7.5","155.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","155.0000","19.0000","155.0000","22.7500"
"GT_J_SWD","DS1023-2*5SF11","TopLayer","HDR_FEM_2X5P","82.0000","88.5000","180","J - JACK - PIN_HEADER 2X5P","82.0000","88.5000","87.0800","87.2300"
"RF_G","1206W4F1000T5E","TopLayer","R_1206","148.5000","41.5000","90","R - RESISTOR - SMD - 1R - 1% - 1206","148.5000","41.5000","148.5000","40.1000"
"RF","1206W4F1000T5E","TopLayer","R_1206","148.5000","59.5000","90","R - RESISTOR - SMD - 1R - 1% - 1206","148.5000","59.5000","148.5000","58.1000"
"RF_F","1206W4F1000T5E","TopLayer","R_1206","151.0000","44.5000","90","R - RESISTOR - SMD - 1R - 1% - 1206","151.0000","44.5000","151.0000","43.1000"
"RF_E","1206W4F1000T5E","TopLayer","R_1206","148.5000","47.5000","90","R - RESISTOR - SMD - 1R - 1% - 1206","148.5000","47.5000","148.5000","46.1000"
"RF_D","1206W4F1000T5E","TopLayer","R_1206","151.0000","50.5000","90","R - RESISTOR - SMD - 1R - 1% - 1206","151.0000","50.5000","151.0000","49.1000"
"RF_C","1206W4F1000T5E","TopLayer","R_1206","148.5000","53.5000","90","R - RESISTOR - SMD - 1R - 1% - 1206","148.5000","53.5000","148.5000","52.1000"
