Altium Designer Pick and Place Locations
C:\git\LightCell\0_GTI\Project Outputs for GTI\[No Variations]\Pick Place for GTI_V5.csv

========================================================================================================================
File Design Information:

Date:       24/01/24
Time:       20:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"C7_C","1206B102K202NT","TopLayer","C_1206","199.0000","69.0000","360","C - CAPACITOR - MLCC - 1nF - 2000V - 1206 - X7R","199.0000","69.0000","197.6046","69.0000"
"GT_J_G","SMTSO3020CTJ","TopLayer","SMTSO3020CTJ","107.5000","11.0000","90","J - PCB NUT - M3 x 2","107.5000","11.0000","107.5000","11.0000"
"GT_J_F","SMTSO3020CTJ","TopLayer","SMTSO3020CTJ","126.5000","11.0000","90","J - PCB NUT - M3 x 2","126.5000","11.0000","126.5000","11.0000"
"GTI_C_BULK_E","56 uF","TopLayer","CAP_D18_L7.5","136.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","136.0000","19.0000","136.0000","22.7500"
"GTI_C_BULK_D","56 uF","TopLayer","CAP_D18_L7.5","117.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","117.0000","19.0000","117.0000","22.7500"
"GTI_C_BULK_C","56 uF","TopLayer","CAP_D18_L7.5","174.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","174.0000","19.0000","174.0000","22.7500"
"GTI_C_BULK_B","56 uF","TopLayer","CAP_D18_L7.5","98.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","98.0000","19.0000","98.0000","22.7500"
"GTI_C_BULK_A","56 uF","TopLayer","CAP_D18_L7.5","155.0000","19.0000","270","C - CAPACITOR - ELECTROYLTIC - 56 uF - 450V - TH","155.0000","19.0000","155.0000","22.7500"
"GT_J_SWD","DS1023-2*5SF11","TopLayer","HDR_FEM_2X5P","76.0000","89.0000","180","J - JACK - PIN_HEADER 2X5P","76.0000","89.0000","81.0800","87.7300"
"RF_G","1206W4F1000T5E","TopLayer","R_1206","152.0000","59.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","152.0000","59.5000","152.0000","60.9000"
"RF","1206W4F1000T5E","TopLayer","R_1206","152.0000","41.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","152.0000","41.5000","152.0000","42.9000"
"RF_F","1206W4F1000T5E","TopLayer","R_1206","149.5000","56.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","149.5000","56.5000","149.5000","57.9000"
"RF_E","1206W4F1000T5E","TopLayer","R_1206","152.0000","53.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","152.0000","53.5000","152.0000","54.9000"
"RF_D","1206W4F1000T5E","TopLayer","R_1206","149.5000","50.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","149.5000","50.5000","149.5000","51.9000"
"RF_C","1206W4F1000T5E","TopLayer","R_1206","152.0000","47.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","152.0000","47.5000","152.0000","48.9000"
"RF_B","1206W4F1000T5E","TopLayer","R_1206","149.5000","44.5000","270","R - RESISTOR - SMD - 1R - 1% - 1206","149.5000","44.5000","149.5000","45.9000"
"GT_L_VB_B","PDMTAT068125-221MLU","TopLayer","L_TOROID_8MM_D","135.5000","44.0000","270","L - INDUCTOR - 220uH - 5A - 23mm","135.5000","44.0000","135.5000","48.0000"
"GT_L_VA_B","PDMTAT068125-221MLU","TopLayer","L_TOROID_8MM_D","135.5000","56.5000","90","L - INDUCTOR - 220uH - 5A - 23mm","135.5000","56.5000","135.5000","52.5000"
"D2_B","1N5819WS","TopLayer","SOD-323","127.0000","83.5000","270","D - DIODE - SCHOTTKY - 40V - 1A","127.0000","83.5000","127.0000","84.6000"
"D2_A","1N5819WS","TopLayer","SOD-323","127.0000","87.5000","90","D - DIODE - SCHOTTKY - 40V - 1A","127.0000","87.5000","127.0000","86.4000"
"GTI_T_A","HLK-PM12","TopLayer","HLK-PM12","193.0000","82.5000","180","T - 12V - 0.25A - OFF LINE PSU","193.0000","82.5000","207.7000","80.0000"
